sid,title,workspace,is_auto,reqs,input_tokens,output_tokens,total_tokens,cache_hit_tokens,cache_hit_rate,started_at,ended_at,duration_span_min,duration_active_min,peak_reqs,off_reqs,peak_ratio,cost_cny
sample-0400,梳理权限模型,infra-tools,1,838,137033950,303356,137337306,133614337,97.5,2026-08-28 11:00:00,2026-08-28 14:00:00,180,119.2,0,0,0.0,38.0366
sample-0105,设计任务看板字段,data-pipeline,0,771,133570353,94833,133665186,131855639,98.72,2026-08-24 19:00:00,2026-08-24 19:25:00,25,10.6,0,0,0.0,35.058
sample-0201,排查依赖版本冲突,docs-site,0,744,129568344,270072,129838416,123600215,95.39,2026-08-11 17:00:00,2026-08-11 20:00:00,180,96.4,0,0,0.0,37.9485
sample-0000,重构用户认证模块,backend-refactor,0,746,84647128,357334,85004462,77209516,91.21,2026-08-18 12:00:00,2026-08-18 12:48:00,48,19.7,0,0,0.0,28.1693
sample-0001,批量处理 CSV 报表,backend-refactor,0,501,71725665,126252,71851917,65400833,91.18,2026-08-12 15:00:00,2026-08-12 21:40:00,400,115.5,0,0,0.0,23.18
sample-0101,优化慢查询与索引,data-pipeline,0,518,62718922,355866,63074788,56526493,90.13,2026-08-16 23:00:00,2026-08-16 23:06:00,6,3.9,0,0,0.0,21.7475
sample-0204,清理废弃分支与标签,docs-site,0,420,56214480,126420,56340900,53600981,95.35,2026-08-21 21:00:00,2026-08-22 03:40:00,400,206.8,0,0,0.0,16.5194
sample-0200,拆分大型组件模块,docs-site,0,439,53085197,180429,53265626,49545924,93.33,2026-09-19 16:00:00,2026-09-19 16:48:00,48,12.9,0,0,0.0,14.7322
sample-0100,整理测试用例清单,data-pipeline,0,487,52726516,118341,52844857,51589758,97.84,2026-07-27 21:00:00,2026-07-27 21:48:00,48,37.6,0,0,0.0,14.5076
sample-0007,整理测试用例清单,backend-refactor,0,336,52305456,123984,52429440,47462626,90.74,2026-08-27 09:00:00,2026-08-27 15:40:00,400,142.6,0,0,0.0,17.2044
sample-0008,优化慢查询与索引,backend-refactor,0,329,50367926,161868,50529794,47083171,93.48,2026-08-01 17:00:00,2026-08-01 23:40:00,400,85.4,329,0,100.0,9.7478
sample-0005,汇总季度指标看板,backend-refactor,0,729,43337592,403137,43740729,41060522,94.75,2026-08-13 15:00:00,2026-08-13 15:48:00,48,31.4,0,0,0.0,14.1547
sample-0203,评估第三方服务选型,docs-site,0,407,35747217,166463,35913680,32670122,91.39,2026-08-08 10:00:00,2026-08-08 16:40:00,400,221.8,0,0,0.0,10.4419
sample-0501,迁移旧版配置格式,research-notes,0,204,33429888,130152,33560040,31244917,93.46,2026-08-25 14:00:00,2026-08-25 15:30:00,90,62.4,0,0,0.0,10.5168
sample-0303,演练故障恢复流程,mobile-app,0,342,32490342,89604,32579946,30268474,93.16,2026-08-04 19:00:00,2026-08-04 19:25:00,25,16.7,0,0,0.0,8.9901
sample-0202,生成接口对照文档,docs-site,0,330,32346930,172260,32519190,31429338,97.16,2026-09-09 09:00:00,2026-09-09 09:48:00,48,28.2,0,0,0.0,9.464
sample-0106,统一日志格式规范,data-pipeline,0,338,31624294,58136,31682430,29941422,94.68,2026-08-28 10:00:00,2026-08-28 11:30:00,90,28.8,0,0,0.0,9.4008
sample-0002,梳理数据同步流程,backend-refactor,0,245,30544395,145775,30690170,29502972,96.59,2026-09-17 16:00:00,2026-09-17 16:25:00,25,12.5,0,0,0.0,9.0003
sample-0500,汇总季度指标看板,research-notes,1,271,30379913,129809,30509722,29600511,97.43,2026-09-12 13:00:00,2026-09-12 14:30:00,90,66.3,0,0,0.0,15.8931
sample-0006,迁移旧版配置格式,backend-refactor,0,319,29754087,39875,29793962,28119641,94.51,2026-08-15 20:00:00,2026-08-15 23:00:00,180,30.3,0,0,0.0,8.8239
sample-0402,重构用户认证模块,infra-tools,0,540,29186460,227880,29414340,27012771,92.55,2026-08-08 17:00:00,2026-08-08 17:48:00,48,17.0,0,0,0.0,9.8384
sample-0004,排查接口超时问题,backend-refactor,0,245,28704445,76440,28780885,26350125,91.8,2026-08-01 22:00:00,2026-08-01 22:12:00,12,7.7,0,0,0.0,9.2476
sample-0103,校对术语表译法,data-pipeline,0,469,21395780,285152,21680932,19459471,90.95,2026-09-14 09:00:00,2026-09-14 12:00:00,180,97.9,0,0,0.0,7.9418
sample-0104,归档历史构建产物,data-pipeline,0,218,20046844,144970,20191814,18985563,94.71,2026-07-31 14:00:00,2026-07-31 14:25:00,25,13.7,218,0,100.0,4.0417
sample-0401,盘点未完成事项,infra-tools,0,221,18938153,21658,18959811,18837081,99.47,2026-08-09 19:00:00,2026-08-09 20:30:00,90,72.7,0,0,0.0,4.897
sample-0300,编写发布回滚预案,mobile-app,0,179,15175978,28461,15204439,14266684,94.01,2026-07-28 18:00:00,2026-07-28 18:12:00,12,6.1,0,0,0.0,4.5898
sample-0102,搭建本地调试环境,data-pipeline,0,104,11940240,42224,11982464,11001558,92.14,2026-09-12 15:00:00,2026-09-12 15:06:00,6,1.9,53,51,51.0,2.0042
sample-0301,整理会议决议要点,mobile-app,0,80,10817360,54560,10871920,10460188,96.7,2026-08-24 10:00:00,2026-08-24 10:12:00,12,1.9,0,0,0.0,3.1905
sample-0302,核对埋点事件命名,mobile-app,0,143,9034311,41041,9075352,8614118,95.35,2026-09-17 10:00:00,2026-09-17 10:12:00,12,2.5,0,0,0.0,2.7379
sample-0003,编写部署文档,backend-refactor,0,55,4335320,35035,4370355,4048808,93.39,2026-09-08 17:00:00,2026-09-08 23:40:00,400,241.5,0,0,0.0,1.4389
